Nombre;Alumno;Ciudad;Nota Estructuras de Datos y Algoritmos;Nota Arquitectura y Organizacion de Computadores;Nota Desarrollo Web;Nota Analisis y Disenio de Sistemas de Informacion
Tanek;Wynne Vance;Saint-Jean-Geest;8;7;1;4
Graiden;Emerald X. Daniel;Dunfermline;5;3;5;8
Carissa;Ira M. Valencia;San Pedro;6;1;1;6
TaShya;Davis Maddox;Midlands;2;4;1;6
Ivor;Joseph Holder;Arquata del Tronto;3;7;2;3
Rylee;Kay Winters;Sromness;10;6;4;10
Quyn;Chancellor D. Nixon;Wichita;10;6;8;4
Barclay;Erich Norris;Ponoka;3;2;6;10
Chloe;Alfreda I. Garner;Saint-Laurent;8;3;4;6
Dolan;Roary H. Cotton;Roccasicura;4;5;4;1
Shea;Mollie Vance;Kingston;5;1;4;1
George;Malachi Perez;Maule;4;2;5;1
Elmo;Kay Velez;Beerse;4;9;9;9
Jonah;Mollie Salazar;Querétaro;6;5;10;4
Germane;Eliana Hendrix;Henstedt-Ulzburg;9;3;8;1
Jaime;Cadman Z. Ford;Kapfenberg;9;8;1;10
Travis;Libby Y. Carney;Jammu;2;2;4;6
Erasmus;Sacha Hanson;Castellana Sicula;8;6;8;1
Amanda;Hedy Franco;Rhemes-Saint-Georges;10;2;10;2
Simone;Candice Barlow;Nijmegen;3;9;7;10
Denise;Igor X. Bonner;Pickering;4;10;9;6
Nash;Kamal F. Mccall;Mesoraca;3;5;1;5
Wynne;Travis Y. Bush;Alma;4;2;3;8
Nita;Quinn Galloway;Åkersberga;7;3;10;8
Erich;Alfreda Walton;Güssing;4;4;1;7
Lucius;Claire R. Kaufman;Caruaru;3;2;8;6
Gray;Isabella Lowe;Town of Yarmouth;2;8;2;10
Erica;Ronan Leonard;Outrijve;10;2;6;8
Macey;Shafira Baxter;Edmonton;4;2;4;5
Fiona;Indira Q. Greene;Envigado;3;6;3;1
Aristotle;Jesse H. Gordon;Frutillar;4;10;4;7
Hiroko;Lester Jefferson;Fiumara;3;8;6;6
Marcia;Karleigh N. Nielsen;Brixton;7;9;5;5
Diana;Rose Farley;Weißenfels;4;1;10;6
Charde;Tasha Burke;Torgiano;5;3;5;3
Hilel;Randall Murphy;Palmiano;9;7;8;10
